InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV100000,P105,Product 32,8,2024-01-31,48.83,10232.0,India
INV100001,P257,Product 29,8,2023-02-18,40.52,10022.0,France
INV100002,P971,Product 3,5,2024-01-28,81.04,10240.0,France
INV100003,P329,Product 47,4,2023-09-25,67.19,10141.0,Spain
INV100004,P960,Product 8,1,2023-10-17,7.37,10037.0,France
INV100005,P793,Product 30,4,2023-07-07,35.37,10246.0,Netherlands
INV100006,P215,Product 8,5,2023-07-18,79.15,10100.0,Spain
INV100007,P385,Product 30,4,2023-07-05,65.89,10058.0,India
INV100008,P683,Product 38,5,2023-06-17,54.15,10009.0,Netherlands
INV100009,P442,Product 7,1,2023-12-02,82.14,10070.0,France
INV100010,P867,Product 4,2,2023-03-07,66.22,10153.0,United Kingdom
INV100011,P624,Product 49,6,2023-12-29,62.2,10244.0,France
INV100012,P506,Product 3,-8,2024-04-14,44.07,10052.0,United Kingdom
INV100013,P570,Product 28,8,2023-06-20,24.63,10028.0,United Kingdom
INV100014,P320,Product 34,10,2023-05-21,41.96,10169.0,India
INV100015,P461,Product 31,8,2024-04-09,97.6,10103.0,Spain
INV100016,P425,Product 23,4,2024-06-07,60.9,10015.0,Netherlands
INV100017,P244,Product 10,2,2023-11-13,56.54,10127.0,United Kingdom
INV100018,P587,Product 17,9,2023-12-18,51.69,10023.0,Netherlands
INV100019,P975,Product 35,6,2023-09-05,77.94,,India
INV100020,P355,Product 50,9,2023-03-22,92.72,10168.0,Netherlands
INV100021,P894,Product 32,2,2024-01-25,33.98,10092.0,Germany
INV100022,P158,Product 9,10,2024-06-28,19.62,10068.0,Netherlands
INV100023,P346,Product 42,8,2023-05-10,21.37,10094.0,Spain
INV100024,P758,Product 49,-4,2023-02-23,8.07,10126.0,Germany
INV100025,P850,Product 18,5,2023-11-25,75.58,10033.0,Spain
INV100026,P714,Product 28,1,2023-06-03,36.71,10074.0,India
